Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
F67_REC00000,2019,Jan,Karnataka,Bengaluru,WHO India,227714,240,1797,2463,859,476,83,65,Medium
F67_REC00001,2019,Mar,West Bengal,Howrah,HMIS,187644,312,862,2418,1122,46,112,167,High
F67_REC00002,2021,Sep,Uttar Pradesh,Agra,CARE India,129887,335,1038,272,672,364,343,90,Low
F67_REC00003,2020,Jun,Karnataka,Mysuru,Smile Foundation,302397,177,179,1915,473,31,300,88,Medium
F67_REC00004,2020,Mar,Bihar,Gaya,Doctors For You,267732,65,846,2447,1203,200,150,157,Low
F67_REC00005,2021,Jan,Maharashtra,Nagpur,CARE India,237795,298,638,437,404,181,358,77,High
F67_REC00006,2022,Jul,Tamil Nadu,Chennai,Smile Foundation,79791,311,852,1787,168,357,57,142,High
F67_REC00007,2019,Feb,Gujarat,Vadodara,Doctors For You,257099,301,1937,524,644,14,176,156,Low
F67_REC00008,2018,Apr,Karnataka,Hubli,Smile Foundation,428662,177,372,2875,279,290,9,252,Medium
F67_REC00009,2021,Apr,Karnataka,Hubli,Smile Foundation,329450,251,1621,2809,566,275,268,269,Medium
F67_REC00010,2022,Apr,Maharashtra,Pune,Smile Foundation,93656,223,1687,1247,910,30,371,266,Medium
F67_REC00011,2020,May,Bihar,Gaya,WHO India,379635,362,317,2751,1418,332,0,184,Low
F67_REC00012,2021,Jul,Tamil Nadu,Coimbatore,Doctors For You,278624,285,1394,1007,1064,496,10,223,High
F67_REC00013,2018,Mar,Maharashtra,Nagpur,Doctors For You,87593,149,545,1816,72,493,275,107,Medium
F67_REC00014,2022,Aug,Karnataka,Bengaluru,WHO India,352553,400,468,1090,1166,62,127,103,Medium
F67_REC00015,2022,Mar,Uttar Pradesh,Varanasi,NHM,155957,323,114,1414,1410,81,393,37,Medium
F67_REC00016,2021,Mar,Tamil Nadu,Coimbatore,Smile Foundation,118461,344,1420,2763,1434,370,375,52,Low
F67_REC00017,2020,Aug,West Bengal,Siliguri,NHM,298506,118,660,2474,1387,292,223,281,High
F67_REC00018,2021,Feb,West Bengal,Howrah,Smile Foundation,469914,76,639,1108,493,460,380,173,Medium
F67_REC00019,2021,Jan,West Bengal,Kolkata,HMIS,240072,74,1039,2779,682,143,1,52,Medium
F67_REC00020,2018,Aug,Tamil Nadu,Coimbatore,WHO India,374882,191,1547,491,274,491,292,114,Low
F67_REC00021,2022,Jun,Maharashtra,Pune,UNICEF India,89688,250,1610,505,225,86,322,107,High
F67_REC00022,2021,Apr,Gujarat,Ahmedabad,WHO India,345261,188,764,1573,531,171,63,167,Medium
F67_REC00023,2018,Sep,West Bengal,Kolkata,Doctors For You,273376,123,1302,2361,190,210,32,198,Medium
F67_REC00024,2018,Jul,West Bengal,Kolkata,Doctors For You,85281,222,1967,1593,276,371,312,228,Medium
F67_REC00025,2022,Feb,Maharashtra,Nagpur,Smile Foundation,352485,296,167,535,411,290,27,50,High
F67_REC00026,2022,Sep,Maharashtra,Nagpur,Doctors For You,146899,294,618,1602,893,183,21,18,High
F67_REC00027,2019,Jun,Bihar,Gaya,CARE India,337805,256,1273,617,1075,365,218,85,Medium
F67_REC00028,2018,Jan,Uttar Pradesh,Agra,NFHS,445762,30,723,1460,659,454,355,60,Low
F67_REC00029,2021,Apr,Gujarat,Surat,HMIS,495180,157,1141,2601,930,382,73,4,Medium
F67_REC00030,2019,Apr,Bihar,Muzaffarpur,CARE India,178103,53,1805,2202,1384,132,85,240,High
F67_REC00031,2019,Jun,Karnataka,Bengaluru,WHO India,253725,220,366,1772,90,165,318,22,Low
F67_REC00032,2019,Feb,Tamil Nadu,Madurai,CARE India,427130,383,215,2268,454,394,356,85,Low
F67_REC00033,2018,Mar,West Bengal,Siliguri,UNICEF India,240799,140,1682,2313,1080,468,17,243,Low
F67_REC00034,2020,Jun,Gujarat,Vadodara,Doctors For You,301307,363,417,389,1333,225,179,247,Medium
F67_REC00035,2018,Feb,Uttar Pradesh,Varanasi,Doctors For You,90408,220,111,2291,1152,163,94,105,Medium
F67_REC00036,2020,Sep,Gujarat,Ahmedabad,CARE India,326638,129,946,359,1074,494,233,257,Medium
F67_REC00037,2018,Mar,Maharashtra,Nagpur,Doctors For You,52641,207,839,418,611,90,86,257,High
F67_REC00038,2018,Jul,Tamil Nadu,Madurai,Doctors For You,477197,362,439,1624,206,45,58,143,Low
F67_REC00039,2019,Apr,Tamil Nadu,Chennai,NHM,481960,75,890,1804,1221,227,144,275,High
F67_REC00040,2022,Jun,Gujarat,Ahmedabad,NFHS,217554,351,199,1799,1356,400,89,17,High
F67_REC00041,2020,May,Gujarat,Vadodara,HMIS,431087,66,555,801,84,165,282,68,Medium
F67_REC00042,2018,Apr,Tamil Nadu,Coimbatore,UNICEF India,463840,334,569,1973,867,233,222,101,Low
F67_REC00043,2022,Mar,Tamil Nadu,Madurai,NHM,302681,355,695,2167,1287,294,192,44,Medium
F67_REC00044,2022,Feb,Uttar Pradesh,Agra,NHM,224891,167,1814,2113,1271,369,345,299,Low
F67_REC00045,2020,Jan,Bihar,Gaya,UNICEF India,387913,362,1492,937,720,433,50,116,Medium
F67_REC00046,2019,Aug,Maharashtra,Mumbai,Doctors For You,369274,174,960,1357,1301,425,94,25,Low
F67_REC00047,2018,May,Uttar Pradesh,Lucknow,WHO India,474073,208,1768,2401,682,274,81,102,High
