Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P5_0,2022,Q3,Odisha,Puri,Nutrition Program,Assam NRHM,229156,9026,203,4578,502,121,83
P5_1,2022,Q4,Punjab,Amritsar,TB Control,UNICEF India,160010,30322,239,4604,628,61,93
P5_2,2021,Q3,Punjab,Ludhiana,Child Immunization,NHM Odisha,225465,18665,105,253,593,105,95
P5_3,2021,Q3,Rajasthan,Jaipur,TB Control,NHM Odisha,237418,47702,64,4766,273,154,91
P5_4,2023,Q2,Kerala,Thrissur,Malaria Control,NHM Odisha,392938,15097,167,826,158,89,77
P5_5,2022,Q4,Rajasthan,Jaipur,Nutrition Program,CARE India,303396,38454,70,3888,714,103,93
P5_6,2022,Q1,Rajasthan,Udaipur,Malaria Control,Assam NRHM,119473,39515,215,1829,480,162,86
P5_7,2021,Q2,Odisha,Cuttack,Child Immunization,NHM Odisha,200449,23300,243,1352,721,83,76
P5_8,2021,Q1,Kerala,Thrissur,Child Immunization,Kerala Health Department,160965,13556,244,285,505,131,79
P5_9,2022,Q2,Odisha,Cuttack,Maternal Health,CARE India,127464,15339,163,2149,729,123,81
P5_10,2022,Q3,Assam,Dibrugarh,Maternal Health,Assam NRHM,293302,20027,235,1735,225,160,60
P5_11,2022,Q2,Assam,Dibrugarh,Malaria Control,State Health Society Rajasthan,51640,14464,79,4311,715,95,94
P5_12,2021,Q1,Punjab,Ludhiana,TB Control,State Health Society Rajasthan,41984,13701,234,3389,399,49,82
P5_13,2022,Q1,Kerala,Thrissur,Child Immunization,Assam NRHM,46883,11698,36,293,787,19,69
P5_14,2023,Q1,Assam,Dibrugarh,Child Immunization,Punjab Health Mission,59722,11570,176,4491,152,105,61
P5_15,2022,Q4,Kerala,Thrissur,Malaria Control,Kerala Health Department,190895,35345,233,4703,219,35,91
P5_16,2022,Q2,Kerala,Thrissur,Child Immunization,Kerala Health Department,220934,25433,101,4118,269,76,67
P5_17,2023,Q1,Kerala,Thrissur,Nutrition Program,State Health Society Rajasthan,185814,36242,85,505,731,65,90
P5_18,2023,Q3,Assam,Dibrugarh,TB Control,NHM Odisha,218334,17169,46,1315,702,94,63
P5_19,2022,Q3,Odisha,Cuttack,Nutrition Program,UNICEF India,398807,36450,53,1552,620,183,65
P5_20,2023,Q3,Rajasthan,Udaipur,TB Control,Assam NRHM,142878,20796,211,2070,549,95,96
P5_21,2021,Q2,Kerala,Kozhikode,Nutrition Program,State Health Society Rajasthan,395693,11678,61,575,779,42,84
P5_22,2022,Q2,Assam,Guwahati,Child Immunization,UNICEF India,176911,46400,25,2399,68,81,60
P5_23,2023,Q1,Kerala,Kochi,Malaria Control,Kerala Health Department,310578,11938,59,3908,637,40,88
P5_24,2023,Q4,Odisha,Puri,Child Immunization,Punjab Health Mission,398657,17241,189,880,156,89,93
P5_25,2022,Q2,Odisha,Bhubaneswar,Child Immunization,Kerala Health Department,105325,6593,125,4616,428,45,85
P5_26,2021,Q1,Punjab,Amritsar,Nutrition Program,Assam NRHM,360761,26884,117,1165,498,194,68
P5_27,2022,Q4,Kerala,Kozhikode,Nutrition Program,CARE India,215832,35063,42,1214,636,122,84
P5_28,2023,Q3,Rajasthan,Jodhpur,Maternal Health,NHM Odisha,317869,30852,198,2934,579,83,83
P5_29,2022,Q2,Assam,Dibrugarh,Malaria Control,State Health Society Rajasthan,47845,42030,164,3529,386,150,88
P5_30,2023,Q3,Odisha,Cuttack,Nutrition Program,Punjab Health Mission,79164,6218,92,159,202,137,94
P5_31,2022,Q1,Punjab,Patiala,Malaria Control,NHM Odisha,150170,14183,71,1824,244,92,94
P5_32,2022,Q3,Odisha,Puri,TB Control,NHM Odisha,225940,39369,239,862,135,99,80
P5_33,2021,Q3,Rajasthan,Jodhpur,Nutrition Program,UNICEF India,150935,41754,131,1399,671,89,98
P5_34,2022,Q3,Assam,Dibrugarh,Maternal Health,UNICEF India,123105,10707,34,264,671,131,64
P5_35,2023,Q2,Rajasthan,Udaipur,Malaria Control,Assam NRHM,334115,33497,83,2606,567,57,71
