Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P20_0,2014,Q2,Kerala,Thrissur,Child Immunization,CARE India,68295,7379,49,2567,152,66,78
P20_1,2017,Q2,Rajasthan,Jodhpur,Malaria Control,UNICEF India,168830,26903,195,455,539,161,68
P20_2,2015,Q3,Odisha,Puri,Maternal Health,UNICEF India,399900,27142,192,4168,264,84,97
P20_3,2017,Q4,Kerala,Kozhikode,Maternal Health,CARE India,275588,30187,113,2613,488,107,82
P20_4,2016,Q2,Rajasthan,Jaipur,Malaria Control,Kerala Health Department,395399,21682,52,1559,257,185,85
P20_5,2014,Q2,Kerala,Kozhikode,Malaria Control,NHM Odisha,243995,14703,209,2357,645,74,95
P20_6,2016,Q1,Assam,Silchar,Maternal Health,UNICEF India,116968,22056,110,3728,338,33,75
P20_7,2014,Q4,Rajasthan,Jaipur,Malaria Control,UNICEF India,347641,24618,116,1379,788,3,91
P20_8,2015,Q1,Odisha,Bhubaneswar,Malaria Control,State Health Society Rajasthan,53012,7521,77,3147,398,158,86
P20_9,2017,Q4,Kerala,Kochi,Maternal Health,NHM Odisha,147519,18021,53,4270,139,178,61
P20_10,2017,Q1,Punjab,Patiala,Maternal Health,Punjab Health Mission,338159,38047,66,481,237,53,89
P20_11,2017,Q2,Assam,Dibrugarh,Nutrition Program,Assam NRHM,222850,30986,132,1469,269,119,68
P20_12,2017,Q1,Punjab,Ludhiana,Maternal Health,CARE India,96406,19529,153,4358,625,116,63
P20_13,2017,Q3,Rajasthan,Jodhpur,Nutrition Program,State Health Society Rajasthan,331059,49061,87,3761,737,137,94
P20_14,2016,Q2,Odisha,Puri,Maternal Health,UNICEF India,156160,15014,190,1677,560,50,75
P20_15,2015,Q3,Rajasthan,Udaipur,Maternal Health,NHM Odisha,252923,37225,205,2065,653,134,64
P20_16,2017,Q2,Assam,Dibrugarh,Maternal Health,Punjab Health Mission,297218,5973,124,3813,129,65,96
P20_17,2014,Q2,Assam,Silchar,Nutrition Program,CARE India,159428,25538,222,2482,572,79,77
P20_18,2017,Q2,Rajasthan,Jaipur,TB Control,NHM Odisha,152503,44994,249,500,318,96,70
P20_19,2014,Q1,Punjab,Patiala,Child Immunization,Kerala Health Department,74492,44911,187,3289,358,82,97
P20_20,2015,Q1,Assam,Guwahati,TB Control,CARE India,64137,44678,115,4420,535,28,96
P20_21,2017,Q3,Assam,Dibrugarh,Malaria Control,Kerala Health Department,56290,23217,249,2128,412,43,69
P20_22,2015,Q4,Assam,Silchar,Maternal Health,Kerala Health Department,349800,37706,147,2618,179,57,79
P20_23,2017,Q3,Odisha,Puri,TB Control,Assam NRHM,214162,25296,248,4731,749,62,83
P20_24,2014,Q1,Punjab,Patiala,TB Control,Kerala Health Department,81950,48195,104,4466,227,189,90
P20_25,2014,Q4,Punjab,Ludhiana,Child Immunization,Kerala Health Department,320609,18434,204,4513,220,86,83
P20_26,2016,Q1,Assam,Silchar,Malaria Control,State Health Society Rajasthan,382912,40301,23,1099,553,51,60
P20_27,2014,Q1,Odisha,Bhubaneswar,Nutrition Program,Assam NRHM,198835,6814,217,197,85,174,71
P20_28,2016,Q1,Rajasthan,Udaipur,Malaria Control,NHM Odisha,175545,5311,48,1255,777,100,85
P20_29,2015,Q1,Rajasthan,Udaipur,Malaria Control,UNICEF India,109128,25809,174,1787,432,26,90
P20_30,2015,Q2,Punjab,Amritsar,TB Control,CARE India,173772,37164,198,479,706,92,67
P20_31,2017,Q3,Odisha,Puri,Nutrition Program,Punjab Health Mission,289122,32219,154,4073,678,35,60
P20_32,2014,Q1,Assam,Silchar,Maternal Health,UNICEF India,75877,15763,148,4192,411,165,82
P20_33,2014,Q4,Rajasthan,Jodhpur,Child Immunization,Kerala Health Department,289042,10096,78,4928,591,47,98
P20_34,2014,Q1,Kerala,Thrissur,Maternal Health,Kerala Health Department,294855,27955,98,2209,476,115,66
P20_35,2017,Q4,Kerala,Kozhikode,TB Control,UNICEF India,371132,5772,249,4077,650,164,87
P20_36,2016,Q4,Punjab,Amritsar,Child Immunization,Punjab Health Mission,128287,16004,28,2654,788,200,67
P20_37,2014,Q1,Rajasthan,Jaipur,Child Immunization,Assam NRHM,258757,5647,76,481,159,118,82
P20_38,2017,Q1,Punjab,Patiala,Malaria Control,NHM Odisha,134888,25151,50,4449,706,31,85
P20_39,2016,Q2,Assam,Guwahati,Nutrition Program,Punjab Health Mission,137983,48561,76,3347,374,3,90
P20_40,2017,Q3,Rajasthan,Jaipur,Child Immunization,CARE India,53088,29307,82,2224,713,6,84
P20_41,2017,Q3,Assam,Silchar,Maternal Health,State Health Society Rajasthan,281798,22534,78,120,397,97,79
P20_42,2015,Q3,Kerala,Kozhikode,Malaria Control,UNICEF India,345364,25662,30,424,576,144,83
P20_43,2015,Q4,Punjab,Patiala,Malaria Control,State Health Society Rajasthan,106086,35754,73,269,602,98,80
P20_44,2015,Q2,Kerala,Kochi,Maternal Health,Assam NRHM,208132,35921,82,3664,398,59,79
P20_45,2016,Q1,Punjab,Ludhiana,Nutrition Program,NHM Odisha,299895,15962,105,1377,224,122,63
P20_46,2015,Q2,Kerala,Kochi,Maternal Health,Kerala Health Department,157031,29103,110,854,625,6,88
P20_47,2015,Q2,Punjab,Ludhiana,Child Immunization,Assam NRHM,384217,35974,75,2695,316,189,78
P20_48,2014,Q4,Kerala,Kochi,Malaria Control,Assam NRHM,345853,28215,68,4121,389,157,84
P20_49,2017,Q2,Punjab,Ludhiana,Child Immunization,NHM Odisha,42659,44409,147,646,695,122,66
P20_50,2017,Q1,Rajasthan,Jaipur,Maternal Health,State Health Society Rajasthan,377896,16386,131,2596,111,144,95
P20_51,2014,Q4,Punjab,Amritsar,Maternal Health,State Health Society Rajasthan,396181,15358,240,1729,464,93,77
P20_52,2017,Q2,Assam,Guwahati,Maternal Health,UNICEF India,299550,8221,90,3524,657,90,92
P20_53,2016,Q2,Rajasthan,Udaipur,Malaria Control,Punjab Health Mission,301480,42357,227,3873,115,73,73
P20_54,2016,Q1,Odisha,Bhubaneswar,TB Control,UNICEF India,97887,15450,205,1265,527,113,86
P20_55,2015,Q1,Odisha,Puri,Malaria Control,NHM Odisha,325070,25226,120,1978,768,159,67
P20_56,2015,Q4,Kerala,Kozhikode,TB Control,Assam NRHM,384368,48606,55,214,107,101,97
P20_57,2014,Q4,Assam,Guwahati,Child Immunization,Punjab Health Mission,274923,36517,122,3065,734,78,87
