Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
FILE6_REC00000,2018,May,Gujarat,Vadodara,NHM,176553,300,577,1196,956,147,293,33,High
FILE6_REC00001,2018,May,Gujarat,Surat,UNICEF India,160146,95,1269,987,217,389,164,126,High
FILE6_REC00002,2018,Apr,Karnataka,Mysuru,HMIS,120808,176,472,888,200,84,272,135,High
FILE6_REC00003,2017,Jan,Tamil Nadu,Madurai,WHO India,144413,289,1199,841,146,82,216,95,Medium
FILE6_REC00004,2018,Jun,Gujarat,Ahmedabad,HMIS,99896,109,1136,1803,79,323,290,14,Low
FILE6_REC00005,2017,Aug,Uttar Pradesh,Lucknow,NFHS,250608,51,325,2443,820,293,8,94,Low
FILE6_REC00006,2017,Mar,Karnataka,Hubli,NHM,179194,273,657,1299,391,327,56,146,Low
FILE6_REC00007,2018,Jan,Karnataka,Hubli,NHM,286665,58,1050,546,1186,340,67,31,Medium
FILE6_REC00008,2019,Jul,Karnataka,Hubli,UNICEF India,164067,68,759,2052,528,40,151,184,High
FILE6_REC00009,2019,Apr,Maharashtra,Pune,UNICEF India,147170,300,768,433,407,326,65,79,Medium
FILE6_REC00010,2017,May,Maharashtra,Pune,UNICEF India,191635,292,213,1363,61,172,253,200,High
FILE6_REC00011,2018,Mar,Gujarat,Vadodara,WHO India,198328,250,253,1285,1198,312,253,192,Medium
FILE6_REC00012,2017,Feb,Gujarat,Vadodara,NHM,185587,125,1393,1121,477,180,264,33,Low
FILE6_REC00013,2017,Apr,Uttar Pradesh,Agra,CARE India,257692,189,1172,2074,120,41,72,24,Low
FILE6_REC00014,2018,Apr,Tamil Nadu,Coimbatore,HMIS,93973,91,1382,962,186,371,162,190,Medium
FILE6_REC00015,2019,Jun,Maharashtra,Mumbai,WHO India,289846,179,883,1025,161,253,251,101,Medium
FILE6_REC00016,2018,Aug,Gujarat,Surat,NFHS,253067,176,1330,201,356,301,186,94,High
