Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P6_0,2013,Q4,Kerala,Thrissur,Child Immunization,UNICEF India,231879,5363,37,2969,780,71,63
P6_1,2014,Q3,Assam,Silchar,TB Control,CARE India,271656,46529,190,4512,267,152,75
P6_2,2015,Q2,Odisha,Puri,Child Immunization,NHM Odisha,193422,42400,248,2370,292,179,85
P6_3,2014,Q2,Punjab,Patiala,Child Immunization,State Health Society Rajasthan,355699,48664,172,3304,722,181,80
P6_4,2015,Q1,Punjab,Patiala,Maternal Health,CARE India,73909,27707,183,2081,568,21,60
P6_5,2015,Q2,Kerala,Thrissur,TB Control,UNICEF India,290037,21048,145,463,696,192,79
P6_6,2015,Q3,Odisha,Puri,TB Control,Assam NRHM,149228,39094,141,2139,248,10,85
P6_7,2015,Q2,Assam,Silchar,Maternal Health,Kerala Health Department,311738,34141,170,2301,131,5,85
P6_8,2013,Q3,Assam,Silchar,TB Control,State Health Society Rajasthan,354728,29604,165,3513,113,147,64
P6_9,2015,Q1,Kerala,Thrissur,Malaria Control,State Health Society Rajasthan,230758,19158,27,3504,394,50,86
P6_10,2014,Q1,Kerala,Thrissur,Nutrition Program,Assam NRHM,282195,35171,132,2414,244,144,68
P6_11,2014,Q3,Kerala,Thrissur,Child Immunization,CARE India,397333,5649,155,3483,188,118,81
P6_12,2015,Q2,Kerala,Kozhikode,Nutrition Program,State Health Society Rajasthan,366157,12071,222,2500,781,25,93
P6_13,2014,Q4,Punjab,Ludhiana,TB Control,UNICEF India,48674,9051,177,4793,114,69,75
P6_14,2013,Q2,Punjab,Amritsar,TB Control,CARE India,376401,35299,157,1769,481,76,60
P6_15,2013,Q4,Odisha,Puri,Nutrition Program,Assam NRHM,228928,44228,222,1542,758,195,72
P6_16,2013,Q3,Assam,Dibrugarh,TB Control,UNICEF India,267790,36230,66,690,311,192,88
P6_17,2015,Q4,Rajasthan,Jodhpur,Child Immunization,Assam NRHM,301063,39759,39,1658,128,169,75
P6_18,2014,Q2,Rajasthan,Udaipur,Maternal Health,State Health Society Rajasthan,126713,11722,217,4437,670,189,62
P6_19,2014,Q2,Rajasthan,Jodhpur,Malaria Control,Punjab Health Mission,334758,38449,127,3301,102,9,95
P6_20,2013,Q4,Odisha,Puri,Nutrition Program,NHM Odisha,290809,25097,54,3985,243,138,88
P6_21,2014,Q4,Kerala,Kochi,TB Control,NHM Odisha,55933,22186,239,2695,639,161,73
P6_22,2013,Q3,Kerala,Kozhikode,Malaria Control,NHM Odisha,234233,48952,38,1440,108,15,64
P6_23,2013,Q1,Rajasthan,Udaipur,Nutrition Program,NHM Odisha,375469,12909,218,3951,489,2,73
P6_24,2014,Q4,Kerala,Kozhikode,TB Control,NHM Odisha,248239,45112,169,1291,638,93,77
P6_25,2013,Q3,Punjab,Ludhiana,TB Control,NHM Odisha,253226,45237,82,3315,442,175,69
P6_26,2013,Q2,Assam,Guwahati,Nutrition Program,CARE India,205565,39268,242,2488,493,28,83
P6_27,2015,Q3,Odisha,Puri,Malaria Control,State Health Society Rajasthan,370839,41798,169,4959,91,103,77
P6_28,2013,Q3,Kerala,Kozhikode,Child Immunization,CARE India,218922,8571,144,4357,261,63,61
P6_29,2015,Q1,Punjab,Patiala,Maternal Health,NHM Odisha,364856,10107,89,4828,522,72,89
P6_30,2014,Q2,Kerala,Kochi,Nutrition Program,NHM Odisha,114941,25940,208,3434,161,199,90
P6_31,2014,Q3,Rajasthan,Jodhpur,TB Control,NHM Odisha,268443,22868,164,1410,280,163,88
P6_32,2013,Q3,Punjab,Amritsar,Maternal Health,NHM Odisha,366922,9510,111,3991,699,119,73
P6_33,2015,Q4,Kerala,Thrissur,Child Immunization,State Health Society Rajasthan,218236,45401,235,4299,201,127,82
P6_34,2015,Q1,Assam,Dibrugarh,TB Control,NHM Odisha,194836,14298,174,1554,763,168,89
P6_35,2013,Q3,Rajasthan,Udaipur,Child Immunization,Assam NRHM,164620,49492,54,4790,446,100,67
