Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P18_0,2020,Q1,Assam,Guwahati,TB Control,NHM Odisha,275928,23836,39,4562,170,195,82
P18_1,2020,Q2,Rajasthan,Jodhpur,Malaria Control,Kerala Health Department,342723,16182,213,1168,734,186,60
P18_2,2023,Q3,Punjab,Amritsar,Malaria Control,Assam NRHM,327560,34963,54,3286,124,22,67
P18_3,2024,Q3,Assam,Dibrugarh,Maternal Health,State Health Society Rajasthan,145626,28899,171,4897,640,10,93
P18_4,2023,Q2,Punjab,Patiala,TB Control,Assam NRHM,343717,36200,101,727,204,160,71
P18_5,2020,Q4,Odisha,Bhubaneswar,Child Immunization,CARE India,357579,39988,170,3801,501,171,75
P18_6,2020,Q3,Kerala,Thrissur,Maternal Health,Assam NRHM,97510,21707,235,1627,213,32,93
P18_7,2024,Q2,Assam,Dibrugarh,Maternal Health,Assam NRHM,72221,7242,226,1637,794,86,71
P18_8,2024,Q3,Punjab,Ludhiana,Maternal Health,Kerala Health Department,114482,8126,153,2438,279,165,82
P18_9,2022,Q4,Assam,Silchar,Maternal Health,State Health Society Rajasthan,58073,8705,211,113,517,82,76
P18_10,2022,Q2,Kerala,Kochi,Maternal Health,CARE India,397962,29432,26,844,156,194,63
P18_11,2024,Q2,Assam,Dibrugarh,Child Immunization,Punjab Health Mission,255093,20211,141,1231,645,77,98
P18_12,2021,Q1,Punjab,Patiala,TB Control,UNICEF India,379599,49105,164,3972,497,45,79
P18_13,2024,Q4,Odisha,Puri,Malaria Control,Assam NRHM,150425,8166,233,2232,121,71,78
P18_14,2023,Q4,Kerala,Kochi,Child Immunization,Punjab Health Mission,146753,22493,118,2389,518,53,67
P18_15,2024,Q4,Kerala,Kochi,Maternal Health,NHM Odisha,135589,46029,195,1324,206,155,89
P18_16,2024,Q1,Rajasthan,Jodhpur,Maternal Health,UNICEF India,390273,39987,107,992,473,87,66
P18_17,2020,Q4,Rajasthan,Jodhpur,Malaria Control,State Health Society Rajasthan,242376,44132,132,4268,250,60,94
P18_18,2020,Q1,Odisha,Puri,Maternal Health,State Health Society Rajasthan,65952,45527,144,505,518,198,94
P18_19,2021,Q4,Kerala,Kozhikode,Maternal Health,Assam NRHM,49487,30355,74,1557,476,153,83
P18_20,2024,Q4,Punjab,Ludhiana,Malaria Control,State Health Society Rajasthan,76222,36183,127,2136,694,198,67
P18_21,2021,Q1,Odisha,Puri,Malaria Control,Assam NRHM,166920,12081,61,4795,544,173,68
P18_22,2020,Q3,Punjab,Amritsar,TB Control,Kerala Health Department,45515,43718,46,3512,140,85,78
P18_23,2021,Q4,Rajasthan,Udaipur,Malaria Control,CARE India,371293,21468,244,1942,563,194,76
P18_24,2023,Q2,Odisha,Cuttack,Child Immunization,State Health Society Rajasthan,229121,46877,85,828,785,91,60
P18_25,2020,Q2,Assam,Guwahati,Child Immunization,CARE India,142716,21853,115,1739,522,74,76
P18_26,2020,Q4,Rajasthan,Jodhpur,Maternal Health,CARE India,136163,9997,115,4976,349,88,96
P18_27,2023,Q3,Assam,Guwahati,Malaria Control,State Health Society Rajasthan,397788,9969,223,131,151,36,80
P18_28,2021,Q2,Kerala,Kochi,Nutrition Program,NHM Odisha,345540,47291,30,2700,478,95,82
P18_29,2021,Q4,Kerala,Kochi,TB Control,NHM Odisha,188049,10795,132,3531,69,56,94
P18_30,2020,Q4,Punjab,Amritsar,Nutrition Program,UNICEF India,207260,34189,248,3319,151,180,78
P18_31,2024,Q1,Rajasthan,Udaipur,Maternal Health,Kerala Health Department,353342,32319,38,1670,216,78,90
P18_32,2023,Q3,Rajasthan,Jodhpur,TB Control,UNICEF India,60542,13443,210,1896,555,49,93
P18_33,2023,Q1,Odisha,Cuttack,Malaria Control,Kerala Health Department,354007,27769,127,4369,192,155,86
P18_34,2021,Q2,Assam,Dibrugarh,Nutrition Program,State Health Society Rajasthan,264093,49260,235,4445,738,46,97
P18_35,2024,Q2,Assam,Dibrugarh,Maternal Health,State Health Society Rajasthan,67080,41821,170,2929,75,90,80
P18_36,2024,Q3,Assam,Dibrugarh,TB Control,Punjab Health Mission,383596,32809,131,3120,369,77,86
P18_37,2022,Q3,Punjab,Amritsar,TB Control,CARE India,262962,46899,221,2486,377,100,76
P18_38,2022,Q1,Punjab,Amritsar,Child Immunization,CARE India,211764,45632,101,4107,157,109,79
P18_39,2022,Q2,Assam,Dibrugarh,Malaria Control,Assam NRHM,85254,26993,62,3301,767,28,87
P18_40,2024,Q2,Kerala,Thrissur,TB Control,UNICEF India,190108,38771,40,3517,396,190,98
P18_41,2021,Q3,Assam,Guwahati,TB Control,NHM Odisha,159767,45048,185,1567,394,153,91
P18_42,2020,Q1,Punjab,Amritsar,Maternal Health,Assam NRHM,319379,25104,63,3577,60,90,79
P18_43,2021,Q4,Rajasthan,Jodhpur,Malaria Control,State Health Society Rajasthan,332313,14798,151,1852,769,25,97
P18_44,2023,Q1,Assam,Guwahati,Nutrition Program,Assam NRHM,40551,12916,226,3852,148,103,71
P18_45,2022,Q2,Rajasthan,Jaipur,Child Immunization,Assam NRHM,276220,36160,113,1286,243,14,88
P18_46,2022,Q1,Rajasthan,Jaipur,Maternal Health,CARE India,65641,28600,216,4577,471,84,98
P18_47,2020,Q3,Odisha,Cuttack,Malaria Control,NHM Odisha,135345,20427,54,2590,681,89,77
P18_48,2023,Q1,Punjab,Amritsar,Child Immunization,State Health Society Rajasthan,339407,11702,46,1425,265,147,72
P18_49,2024,Q2,Rajasthan,Jaipur,Nutrition Program,Assam NRHM,59662,6191,171,4640,191,82,90
P18_50,2024,Q2,Rajasthan,Jaipur,TB Control,CARE India,181170,6751,216,4600,558,140,94
P18_51,2021,Q1,Punjab,Ludhiana,Child Immunization,Assam NRHM,191642,12356,179,3465,101,85,95
P18_52,2024,Q1,Rajasthan,Jodhpur,TB Control,State Health Society Rajasthan,325332,40845,101,3887,688,129,75
P18_53,2023,Q3,Kerala,Thrissur,Nutrition Program,UNICEF India,323172,24534,245,4584,658,57,94
P18_54,2020,Q4,Rajasthan,Udaipur,Maternal Health,UNICEF India,92939,18880,207,3612,759,165,96
P18_55,2024,Q2,Rajasthan,Jaipur,Nutrition Program,NHM Odisha,80796,26871,218,3942,627,23,72
P18_56,2024,Q3,Odisha,Cuttack,Malaria Control,UNICEF India,334006,26785,223,212,309,36,96
P18_57,2023,Q1,Assam,Silchar,TB Control,Kerala Health Department,248610,34153,24,3281,197,89,64
P18_58,2022,Q3,Rajasthan,Jaipur,Child Immunization,NHM Odisha,387338,15192,244,3919,302,75,86
P18_59,2022,Q1,Odisha,Puri,TB Control,Kerala Health Department,351789,40728,37,4537,396,41,73
P18_60,2021,Q3,Odisha,Cuttack,Malaria Control,Punjab Health Mission,179443,20366,180,3408,187,28,73
