Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P13_0,2017,Q3,Odisha,Bhubaneswar,Child Immunization,State Health Society Rajasthan,177834,5753,223,3448,178,99,84
P13_1,2019,Q3,Rajasthan,Jaipur,Malaria Control,Assam NRHM,82008,18086,131,1104,656,199,98
P13_2,2019,Q3,Odisha,Bhubaneswar,Malaria Control,UNICEF India,220919,11669,227,3364,327,149,61
P13_3,2019,Q1,Assam,Guwahati,TB Control,NHM Odisha,322603,6720,146,2063,666,52,97
P13_4,2019,Q1,Kerala,Kozhikode,Maternal Health,Assam NRHM,200342,26502,224,3448,303,83,68
P13_5,2017,Q2,Punjab,Patiala,Maternal Health,Punjab Health Mission,251432,43348,127,4118,62,43,90
P13_6,2017,Q3,Kerala,Kochi,Child Immunization,State Health Society Rajasthan,261372,30727,169,731,247,83,63
P13_7,2018,Q2,Punjab,Patiala,Maternal Health,State Health Society Rajasthan,271461,46522,175,2218,283,135,65
P13_8,2018,Q4,Rajasthan,Jaipur,TB Control,Kerala Health Department,320824,25042,53,1718,537,89,60
P13_9,2019,Q1,Punjab,Patiala,Child Immunization,Punjab Health Mission,278671,5595,36,4965,75,11,74
P13_10,2017,Q1,Odisha,Puri,Maternal Health,UNICEF India,340476,8828,118,4367,251,152,73
P13_11,2019,Q3,Punjab,Patiala,Child Immunization,Assam NRHM,47316,31814,58,2711,156,0,76
P13_12,2019,Q1,Punjab,Patiala,Maternal Health,Assam NRHM,243437,26224,149,2149,736,176,88
P13_13,2019,Q2,Odisha,Bhubaneswar,Nutrition Program,UNICEF India,354520,14501,211,2495,769,198,94
P13_14,2018,Q1,Kerala,Kozhikode,TB Control,Assam NRHM,184496,7029,97,977,234,183,88
P13_15,2018,Q4,Punjab,Patiala,Malaria Control,UNICEF India,298918,31467,198,4779,377,99,63
P13_16,2018,Q1,Rajasthan,Jodhpur,Child Immunization,Punjab Health Mission,280158,16918,31,4000,77,190,72
P13_17,2017,Q1,Rajasthan,Jodhpur,Malaria Control,NHM Odisha,212706,47485,197,2821,798,17,88
P13_18,2018,Q2,Odisha,Bhubaneswar,Nutrition Program,UNICEF India,139752,40018,165,2929,418,38,73
P13_19,2017,Q3,Odisha,Cuttack,Nutrition Program,Kerala Health Department,84632,20437,41,2283,776,193,95
P13_20,2017,Q4,Punjab,Patiala,TB Control,State Health Society Rajasthan,171946,46355,120,2045,431,122,67
P13_21,2019,Q1,Punjab,Amritsar,Child Immunization,State Health Society Rajasthan,53320,49875,136,4906,427,192,95
P13_22,2019,Q3,Odisha,Bhubaneswar,Child Immunization,NHM Odisha,285488,13442,169,2786,758,143,76
P13_23,2017,Q2,Punjab,Ludhiana,Malaria Control,UNICEF India,85556,49460,101,1191,163,55,96
P13_24,2018,Q2,Assam,Guwahati,Maternal Health,Kerala Health Department,110752,34865,35,1823,170,9,75
P13_25,2018,Q4,Assam,Silchar,Child Immunization,Assam NRHM,64607,20697,36,484,348,88,73
P13_26,2017,Q2,Assam,Guwahati,Nutrition Program,UNICEF India,322674,44482,187,835,493,174,89
P13_27,2019,Q1,Assam,Dibrugarh,Nutrition Program,CARE India,162565,37559,32,3041,452,149,89
P13_28,2018,Q1,Kerala,Kochi,Nutrition Program,Punjab Health Mission,292771,45168,77,2941,314,150,74
P13_29,2018,Q1,Kerala,Kozhikode,Child Immunization,CARE India,128866,31807,41,2941,235,195,87
P13_30,2018,Q2,Kerala,Kochi,Malaria Control,State Health Society Rajasthan,381846,47884,46,2869,362,46,77
P13_31,2017,Q3,Kerala,Kozhikode,Child Immunization,CARE India,199533,35916,53,211,473,96,67
P13_32,2017,Q3,Punjab,Patiala,Nutrition Program,CARE India,196363,23513,168,1434,175,7,72
P13_33,2019,Q4,Rajasthan,Jodhpur,Maternal Health,Punjab Health Mission,300136,34003,130,3766,254,189,93
P13_34,2017,Q1,Odisha,Cuttack,Child Immunization,State Health Society Rajasthan,191722,49958,184,831,765,134,71
P13_35,2017,Q2,Rajasthan,Udaipur,TB Control,Punjab Health Mission,363420,12252,132,4549,109,143,90
P13_36,2018,Q2,Rajasthan,Jodhpur,Maternal Health,Kerala Health Department,303135,36243,93,2949,107,87,69
P13_37,2017,Q4,Punjab,Amritsar,Child Immunization,Assam NRHM,128400,16025,148,3468,769,140,91
