Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
FILE4_REC00000,2022,Mar,Tamil Nadu,Chennai,NFHS,262697,254,821,2457,127,17,138,78,Medium
FILE4_REC00001,2022,Jun,Karnataka,Hubli,UNICEF India,193844,90,126,660,671,57,112,55,Medium
FILE4_REC00002,2023,Apr,Uttar Pradesh,Lucknow,CARE India,157127,251,540,1909,932,236,208,11,High
FILE4_REC00003,2021,Jan,Uttar Pradesh,Varanasi,Smile Foundation,295066,247,859,1170,933,233,27,146,Low
FILE4_REC00004,2023,Mar,Gujarat,Surat,HMIS,250696,128,482,477,475,210,52,77,High
FILE4_REC00005,2022,Jul,Uttar Pradesh,Lucknow,Smile Foundation,86186,230,342,2377,373,302,143,115,High
FILE4_REC00006,2023,Jan,Karnataka,Hubli,WHO India,92165,182,252,345,630,143,267,192,Medium
FILE4_REC00007,2022,Jul,Gujarat,Surat,NFHS,165123,242,403,1006,915,13,9,37,Low
FILE4_REC00008,2023,Feb,Tamil Nadu,Chennai,WHO India,185156,211,887,2241,607,238,18,180,Medium
FILE4_REC00009,2023,Feb,Maharashtra,Nagpur,Smile Foundation,125728,132,1357,2328,548,375,107,94,Medium
FILE4_REC00010,2023,Aug,Maharashtra,Nagpur,UNICEF India,214983,51,980,779,1081,24,278,96,Low
FILE4_REC00011,2023,Apr,Uttar Pradesh,Agra,NHM,286871,70,662,2118,617,144,44,27,Low
FILE4_REC00012,2023,Apr,Gujarat,Ahmedabad,HMIS,232070,256,379,1754,65,94,196,135,Low
FILE4_REC00013,2021,Jul,Maharashtra,Nagpur,HMIS,50808,90,779,1392,311,49,129,178,Low
FILE4_REC00014,2021,Mar,Karnataka,Mysuru,HMIS,70217,71,660,631,890,23,165,62,Low
FILE4_REC00015,2021,Apr,Tamil Nadu,Madurai,NFHS,60963,192,1197,1961,1075,318,219,10,Medium
FILE4_REC00016,2021,Feb,Karnataka,Mysuru,HMIS,85519,65,1354,1297,385,131,296,162,High
FILE4_REC00017,2021,Mar,Uttar Pradesh,Varanasi,NHM,100076,251,191,1043,354,372,179,122,Medium
FILE4_REC00018,2021,Jan,Maharashtra,Pune,CARE India,258082,118,476,301,1113,304,224,155,Medium
FILE4_REC00019,2022,Aug,Tamil Nadu,Coimbatore,HMIS,94033,283,205,1773,1165,38,1,49,High
FILE4_REC00020,2021,May,Karnataka,Hubli,HMIS,133143,88,1062,486,1042,394,205,23,Low
FILE4_REC00021,2021,May,Gujarat,Surat,NHM,272313,71,210,2156,310,247,110,91,Low
FILE4_REC00022,2023,Jun,Karnataka,Hubli,Smile Foundation,104363,258,1195,463,755,236,23,115,Medium
FILE4_REC00023,2021,Mar,Karnataka,Bengaluru,NFHS,259776,124,867,2182,871,337,106,146,Medium
FILE4_REC00024,2022,Aug,Karnataka,Mysuru,WHO India,244514,87,826,2387,200,104,222,17,Low
FILE4_REC00025,2023,Jan,Karnataka,Mysuru,NFHS,144561,57,495,529,93,222,55,101,Low
FILE4_REC00026,2022,Jan,Gujarat,Ahmedabad,NHM,290940,113,1301,1112,594,214,257,101,Medium
FILE4_REC00027,2023,May,Karnataka,Hubli,WHO India,112383,147,1453,890,516,281,142,70,Medium
FILE4_REC00028,2022,Mar,Maharashtra,Nagpur,NHM,213371,167,759,1366,567,333,195,158,High
FILE4_REC00029,2022,Jan,Maharashtra,Pune,WHO India,288352,206,557,1498,623,114,191,11,Medium
FILE4_REC00030,2021,Jan,Tamil Nadu,Coimbatore,Smile Foundation,118255,198,1136,239,559,292,193,100,High
FILE4_REC00031,2021,Jul,Uttar Pradesh,Lucknow,UNICEF India,82932,205,413,576,699,31,97,60,Low
FILE4_REC00032,2022,Aug,Karnataka,Bengaluru,NHM,248208,261,1054,1246,1056,183,174,92,Medium
FILE4_REC00033,2022,Jan,Maharashtra,Pune,WHO India,156441,129,1447,1073,671,377,52,184,High
FILE4_REC00034,2022,Aug,Uttar Pradesh,Agra,WHO India,84142,72,1118,2106,627,122,285,50,Medium
FILE4_REC00035,2021,May,Karnataka,Bengaluru,Smile Foundation,228394,255,857,2305,676,186,173,150,Medium
FILE4_REC00036,2021,May,Uttar Pradesh,Agra,HMIS,177175,122,988,378,241,387,58,197,Low
FILE4_REC00037,2022,Feb,Tamil Nadu,Chennai,HMIS,187483,197,796,1904,246,321,247,38,Medium
FILE4_REC00038,2022,Jun,Karnataka,Mysuru,WHO India,133806,163,296,1734,404,385,289,80,Low
FILE4_REC00039,2023,Jun,Uttar Pradesh,Varanasi,CARE India,205705,122,723,2320,517,285,262,146,Medium
FILE4_REC00040,2023,May,Uttar Pradesh,Agra,UNICEF India,122767,73,1368,2303,1176,0,198,171,Low
