Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
F23_REC00000,2020,Jan,Maharashtra,Pune,HMIS,372089,59,193,1924,1363,217,320,38,High
F23_REC00001,2020,Jul,Uttar Pradesh,Varanasi,UNICEF India,320161,57,631,1763,986,14,138,272,Low
F23_REC00002,2019,Feb,Uttar Pradesh,Lucknow,Smile Foundation,263214,150,1395,470,703,211,52,261,High
F23_REC00003,2019,Jan,Bihar,Patna,NFHS,374460,343,434,1404,416,193,137,298,Low
F23_REC00004,2019,Jul,West Bengal,Kolkata,CARE India,125290,115,1802,2062,263,236,78,210,Medium
F23_REC00005,2019,Jul,Gujarat,Vadodara,Doctors For You,392553,209,1614,576,950,423,200,12,Medium
F23_REC00006,2020,Apr,Tamil Nadu,Chennai,UNICEF India,206488,364,962,1851,232,85,33,103,Medium
F23_REC00007,2019,Feb,Bihar,Patna,Doctors For You,473702,78,1874,397,226,319,134,282,Medium
F23_REC00008,2020,Apr,Bihar,Gaya,UNICEF India,301824,103,750,2839,322,92,106,253,High
F23_REC00009,2019,Feb,Uttar Pradesh,Lucknow,HMIS,53482,328,723,1844,91,431,107,6,High
F23_REC00010,2020,Mar,Bihar,Patna,NFHS,87918,363,1613,1015,786,121,16,150,High
F23_REC00011,2020,Mar,Uttar Pradesh,Varanasi,NHM,435903,109,1882,2589,882,347,221,199,High
F23_REC00012,2019,Jul,Maharashtra,Pune,NFHS,149089,39,737,1732,125,75,60,140,Medium
F23_REC00013,2019,Aug,Karnataka,Mysuru,UNICEF India,107574,275,1074,2600,373,303,148,91,Low
F23_REC00014,2019,Jul,Karnataka,Bengaluru,Doctors For You,462892,249,1087,2849,1419,431,152,192,High
F23_REC00015,2020,Jul,Tamil Nadu,Chennai,NHM,89011,193,503,206,778,487,188,287,Medium
F23_REC00016,2020,Jul,Bihar,Patna,WHO India,380527,68,258,2296,1089,338,162,96,Medium
F23_REC00017,2019,May,Bihar,Patna,NFHS,262268,357,442,1152,304,169,38,284,Medium
F23_REC00018,2019,Jan,Tamil Nadu,Chennai,WHO India,126837,286,1659,1412,244,299,138,175,High
F23_REC00019,2019,Mar,Karnataka,Mysuru,NFHS,153050,265,923,1976,318,150,230,149,Low
