Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P12_0,2022,Q1,Punjab,Amritsar,Child Immunization,CARE India,65242,24386,39,3033,454,7,75
P12_1,2022,Q1,Odisha,Puri,TB Control,Punjab Health Mission,258000,24596,165,1992,746,65,72
P12_2,2023,Q1,Kerala,Thrissur,Nutrition Program,NHM Odisha,350223,17161,159,2861,440,118,92
P12_3,2023,Q2,Punjab,Amritsar,Nutrition Program,Assam NRHM,65121,44159,99,3988,572,196,70
P12_4,2021,Q1,Rajasthan,Jodhpur,Nutrition Program,Punjab Health Mission,277749,7874,207,3908,241,62,66
P12_5,2022,Q3,Kerala,Kozhikode,Maternal Health,Assam NRHM,45043,46970,103,3958,666,109,81
P12_6,2022,Q4,Kerala,Kozhikode,Nutrition Program,Punjab Health Mission,285140,13695,37,2179,562,143,91
P12_7,2024,Q2,Rajasthan,Udaipur,Maternal Health,UNICEF India,154336,8913,119,2099,322,120,95
P12_8,2021,Q3,Punjab,Amritsar,Nutrition Program,State Health Society Rajasthan,233511,39574,223,3278,404,22,66
P12_9,2022,Q3,Assam,Dibrugarh,Nutrition Program,State Health Society Rajasthan,233685,25461,130,4953,217,139,67
P12_10,2022,Q2,Punjab,Patiala,Child Immunization,Assam NRHM,387044,45595,247,849,484,186,72
P12_11,2022,Q1,Kerala,Kochi,Child Immunization,Punjab Health Mission,117250,12294,29,3134,573,97,70
P12_12,2024,Q1,Assam,Silchar,Nutrition Program,NHM Odisha,249618,25115,198,3192,139,32,60
P12_13,2023,Q1,Assam,Guwahati,TB Control,Kerala Health Department,246186,9685,110,220,223,122,83
P12_14,2024,Q1,Rajasthan,Udaipur,Child Immunization,Punjab Health Mission,209144,48844,196,758,742,194,95
P12_15,2021,Q4,Assam,Dibrugarh,Child Immunization,Assam NRHM,368930,12018,155,1818,455,168,90
P12_16,2024,Q2,Kerala,Kochi,Maternal Health,Assam NRHM,322905,46085,57,2952,188,95,64
P12_17,2024,Q2,Assam,Guwahati,Maternal Health,UNICEF India,342396,30769,98,2756,634,178,96
P12_18,2021,Q4,Assam,Silchar,Child Immunization,UNICEF India,109874,35953,33,1908,456,47,74
P12_19,2021,Q2,Assam,Guwahati,Nutrition Program,Kerala Health Department,181045,11457,21,4679,366,68,96
P12_20,2024,Q1,Punjab,Ludhiana,Maternal Health,Assam NRHM,376548,27434,152,810,109,18,84
P12_21,2024,Q3,Kerala,Thrissur,Child Immunization,Punjab Health Mission,104736,41428,98,2100,501,167,73
P12_22,2023,Q4,Assam,Dibrugarh,Maternal Health,UNICEF India,374429,41125,199,4883,757,37,91
P12_23,2024,Q3,Odisha,Bhubaneswar,Maternal Health,State Health Society Rajasthan,320730,41329,156,2364,597,26,97
P12_24,2021,Q4,Punjab,Patiala,Maternal Health,Assam NRHM,347274,35400,195,2126,493,104,76
P12_25,2023,Q4,Assam,Silchar,Child Immunization,NHM Odisha,151636,16267,87,4164,757,13,95
P12_26,2022,Q3,Odisha,Cuttack,TB Control,State Health Society Rajasthan,358095,20261,61,3667,50,19,89
P12_27,2024,Q4,Kerala,Kochi,Nutrition Program,UNICEF India,53869,39494,174,2523,774,32,77
P12_28,2023,Q4,Odisha,Bhubaneswar,Malaria Control,Kerala Health Department,264483,43903,176,4751,715,177,68
P12_29,2021,Q4,Punjab,Patiala,Child Immunization,NHM Odisha,345068,12699,75,1496,349,30,98
P12_30,2023,Q1,Kerala,Thrissur,Maternal Health,NHM Odisha,217522,22925,46,495,655,185,88
P12_31,2022,Q1,Assam,Guwahati,TB Control,Punjab Health Mission,76335,43642,105,1777,280,56,82
P12_32,2021,Q1,Assam,Dibrugarh,Nutrition Program,NHM Odisha,323457,16789,136,1535,308,129,71
P12_33,2022,Q1,Assam,Guwahati,Malaria Control,Punjab Health Mission,115824,49147,232,4612,76,49,86
P12_34,2021,Q1,Kerala,Kozhikode,Malaria Control,NHM Odisha,172759,5191,171,2491,320,177,96
P12_35,2022,Q3,Punjab,Ludhiana,Maternal Health,NHM Odisha,177603,44782,80,482,292,14,71
P12_36,2024,Q4,Rajasthan,Jodhpur,Malaria Control,Punjab Health Mission,158247,32478,27,4032,704,8,89
P12_37,2022,Q4,Odisha,Cuttack,Nutrition Program,Assam NRHM,246468,14287,177,1364,91,195,73
P12_38,2024,Q1,Punjab,Ludhiana,Maternal Health,UNICEF India,321707,8723,230,556,770,199,84
P12_39,2021,Q3,Assam,Dibrugarh,TB Control,Assam NRHM,315364,42397,232,1265,381,64,80
P12_40,2021,Q1,Rajasthan,Udaipur,TB Control,NHM Odisha,70011,18027,112,3231,448,107,76
P12_41,2022,Q1,Odisha,Cuttack,Nutrition Program,UNICEF India,132877,45063,70,4565,419,185,67
P12_42,2022,Q4,Punjab,Patiala,Nutrition Program,Punjab Health Mission,273238,18491,204,4037,542,165,65
P12_43,2022,Q3,Odisha,Puri,Child Immunization,NHM Odisha,102850,40160,126,2265,59,18,86
P12_44,2021,Q1,Odisha,Bhubaneswar,Nutrition Program,NHM Odisha,341536,19996,124,1277,84,125,74
P12_45,2021,Q2,Punjab,Patiala,Child Immunization,UNICEF India,343279,36960,165,2416,217,22,72
P12_46,2022,Q4,Kerala,Kozhikode,Child Immunization,Assam NRHM,220564,14949,215,4144,690,158,95
P12_47,2021,Q3,Kerala,Thrissur,TB Control,Punjab Health Mission,235341,20468,106,3585,686,124,88
P12_48,2024,Q1,Punjab,Ludhiana,Nutrition Program,Punjab Health Mission,251764,45072,232,4566,655,50,95
P12_49,2023,Q4,Odisha,Bhubaneswar,Malaria Control,UNICEF India,319645,40823,38,741,270,78,87
P12_50,2021,Q3,Odisha,Bhubaneswar,Maternal Health,CARE India,176287,25451,53,3290,276,84,65
P12_51,2024,Q4,Odisha,Puri,Maternal Health,State Health Society Rajasthan,111408,18488,235,3477,65,67,85
P12_52,2021,Q1,Punjab,Ludhiana,TB Control,NHM Odisha,229173,46104,213,3822,373,94,64
P12_53,2021,Q4,Odisha,Cuttack,Nutrition Program,Kerala Health Department,48629,27730,26,3751,646,132,93
