Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level
F42_REC00000,2023,Apr,Uttar Pradesh,Agra,NHM,365362,200,348,2891,331,118,244,12,High
F42_REC00001,2022,Apr,Maharashtra,Pune,Doctors For You,371584,239,1619,2717,118,363,313,148,Medium
F42_REC00002,2023,Feb,Tamil Nadu,Chennai,WHO India,120225,159,1627,850,324,216,116,94,Medium
F42_REC00003,2022,Jul,Karnataka,Bengaluru,NFHS,455431,198,1252,1885,1088,175,310,51,Medium
F42_REC00004,2023,Sep,West Bengal,Kolkata,UNICEF India,403420,171,744,2499,702,72,88,237,High
F42_REC00005,2022,Feb,Uttar Pradesh,Varanasi,CARE India,237845,316,753,896,1390,134,111,118,Low
F42_REC00006,2022,Mar,Tamil Nadu,Madurai,NFHS,119578,331,1972,2892,267,398,294,0,High
F42_REC00007,2022,Apr,Karnataka,Bengaluru,NHM,323140,358,1201,1418,1334,427,60,92,Low
F42_REC00008,2022,Aug,Tamil Nadu,Madurai,Smile Foundation,84014,367,1843,2183,826,140,34,168,Low
F42_REC00009,2023,Mar,Uttar Pradesh,Varanasi,HMIS,163801,157,910,1272,524,107,219,180,Low
F42_REC00010,2023,Mar,Uttar Pradesh,Agra,HMIS,468835,93,1021,977,241,53,129,112,High
F42_REC00011,2023,Jun,Karnataka,Bengaluru,WHO India,136575,184,1934,1308,1326,129,26,184,Medium
F42_REC00012,2022,Jul,Gujarat,Ahmedabad,Smile Foundation,190781,107,1319,1358,819,321,363,145,Medium
F42_REC00013,2022,Jan,Tamil Nadu,Chennai,WHO India,413009,301,1872,2537,882,303,173,162,Low
F42_REC00014,2023,Aug,Bihar,Patna,Smile Foundation,275832,235,1414,2191,1156,226,111,173,Medium
F42_REC00015,2023,May,Gujarat,Vadodara,NHM,438598,339,1814,2808,740,336,220,261,Low
F42_REC00016,2022,Mar,Karnataka,Bengaluru,UNICEF India,234829,147,382,2583,1360,309,94,80,Medium
F42_REC00017,2022,Jul,Tamil Nadu,Coimbatore,HMIS,416633,169,846,852,874,137,362,274,Low
F42_REC00018,2022,Jul,Gujarat,Ahmedabad,UNICEF India,323035,384,1159,1218,1034,101,383,208,High
F42_REC00019,2022,Jul,Uttar Pradesh,Varanasi,WHO India,153099,266,1349,871,1340,177,168,214,Low
F42_REC00020,2023,Aug,Uttar Pradesh,Agra,NHM,83920,231,1119,2111,1461,49,339,26,High
F42_REC00021,2022,May,Maharashtra,Pune,Smile Foundation,71547,400,382,624,1327,63,66,227,High
F42_REC00022,2023,Jan,Karnataka,Mysuru,WHO India,487893,128,1209,1336,360,460,379,6,Low
F42_REC00023,2023,Aug,Bihar,Patna,NFHS,133379,248,236,1599,370,384,100,294,Medium
F42_REC00024,2022,May,Maharashtra,Pune,WHO India,293784,124,948,2448,219,464,190,216,High
F42_REC00025,2023,Jun,Karnataka,Mysuru,NFHS,378134,337,1060,926,153,135,375,251,High
F42_REC00026,2022,Mar,West Bengal,Howrah,UNICEF India,145505,148,863,1953,654,483,129,186,High
F42_REC00027,2022,Mar,Karnataka,Mysuru,Smile Foundation,60346,298,716,540,729,438,400,237,High
F42_REC00028,2023,Apr,Tamil Nadu,Madurai,CARE India,207541,175,1895,2871,269,122,281,203,Medium
F42_REC00029,2023,Feb,West Bengal,Howrah,NHM,488099,321,280,2529,961,434,394,251,High
F42_REC00030,2022,Apr,Bihar,Patna,WHO India,58253,119,1747,2926,358,453,187,287,High
F42_REC00031,2023,Jun,Gujarat,Vadodara,HMIS,403026,284,724,2297,937,174,186,89,High
F42_REC00032,2023,Mar,West Bengal,Siliguri,HMIS,102751,195,1193,2885,548,11,244,45,Medium
F42_REC00033,2023,Jul,Uttar Pradesh,Varanasi,CARE India,107292,47,1215,739,979,181,156,61,High
F42_REC00034,2022,May,Bihar,Muzaffarpur,Smile Foundation,139382,211,920,2313,576,491,360,10,High
F42_REC00035,2023,Jul,Maharashtra,Mumbai,NFHS,150422,217,211,473,203,109,257,23,High
F42_REC00036,2022,Jul,West Bengal,Howrah,NHM,141573,177,664,2731,1497,151,255,93,High
F42_REC00037,2022,Jan,West Bengal,Kolkata,HMIS,121029,282,1231,2367,1398,49,59,25,Low
F42_REC00038,2022,May,Karnataka,Mysuru,HMIS,237325,85,1018,2094,621,333,170,109,High
F42_REC00039,2022,Apr,Gujarat,Ahmedabad,CARE India,136382,126,1220,2477,1492,66,229,284,Low
F42_REC00040,2022,Sep,Bihar,Patna,WHO India,325159,137,917,1238,612,349,16,200,Low
F42_REC00041,2022,May,Uttar Pradesh,Agra,CARE India,109568,96,677,2565,147,82,118,262,Medium
F42_REC00042,2023,Mar,West Bengal,Siliguri,CARE India,391811,73,938,1637,439,317,163,109,Low
F42_REC00043,2022,May,Uttar Pradesh,Lucknow,HMIS,180613,124,1532,2467,1096,21,331,216,High
F42_REC00044,2023,Mar,Gujarat,Surat,CARE India,424537,271,499,1780,950,315,246,17,Medium
F42_REC00045,2023,Jul,West Bengal,Kolkata,NHM,448901,96,1704,370,1374,296,155,175,Low
F42_REC00046,2022,Aug,Gujarat,Ahmedabad,WHO India,324312,336,1164,1246,797,412,119,55,Low
F42_REC00047,2022,Jun,Bihar,Gaya,NHM,114596,51,1188,796,725,101,126,3,Medium
F42_REC00048,2022,Jul,Gujarat,Ahmedabad,WHO India,471025,284,1510,2093,504,305,366,21,Low
F42_REC00049,2023,May,Gujarat,Vadodara,Doctors For You,194362,324,1229,443,102,50,120,242,Low
F42_REC00050,2023,Sep,Tamil Nadu,Coimbatore,CARE India,355455,315,1591,1940,1067,61,258,72,High
F42_REC00051,2022,May,West Bengal,Siliguri,Doctors For You,382039,288,1813,1678,698,413,289,263,Medium
F42_REC00052,2022,Apr,Bihar,Patna,HMIS,407900,365,439,1961,110,92,317,250,High
F42_REC00053,2022,Jun,Gujarat,Surat,CARE India,334158,199,1211,2287,846,267,41,274,Low
F42_REC00054,2023,Mar,West Bengal,Kolkata,Doctors For You,87622,44,1336,2854,408,200,32,206,Low
F42_REC00055,2022,Apr,Uttar Pradesh,Lucknow,UNICEF India,205939,341,567,1830,947,197,286,68,High
F42_REC00056,2022,Feb,Gujarat,Ahmedabad,CARE India,80374,331,689,1794,824,494,227,32,Medium
F42_REC00057,2023,Jan,Uttar Pradesh,Agra,NFHS,279799,352,1479,2834,381,375,138,126,Low
