Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%
P28_0,2020,Q3,Odisha,Bhubaneswar,TB Control,UNICEF India,232963,28977,61,1589,115,91,79
P28_1,2019,Q2,Rajasthan,Jodhpur,Child Immunization,UNICEF India,319933,42684,168,4299,549,193,69
P28_2,2019,Q1,Rajasthan,Udaipur,TB Control,Kerala Health Department,97699,39019,159,541,284,160,81
P28_3,2019,Q4,Odisha,Bhubaneswar,Child Immunization,Punjab Health Mission,243476,47956,66,3829,143,43,96
P28_4,2018,Q2,Kerala,Thrissur,Malaria Control,NHM Odisha,399072,25167,154,208,327,20,97
P28_5,2018,Q1,Assam,Dibrugarh,Malaria Control,Assam NRHM,295592,35553,94,2402,715,199,66
P28_6,2022,Q1,Punjab,Ludhiana,Maternal Health,Punjab Health Mission,57248,34376,120,3611,649,57,64
P28_7,2019,Q1,Odisha,Bhubaneswar,Nutrition Program,State Health Society Rajasthan,62540,46170,46,4357,159,112,95
P28_8,2022,Q1,Punjab,Amritsar,Child Immunization,CARE India,385216,12480,180,4349,633,15,86
P28_9,2020,Q2,Rajasthan,Jaipur,Maternal Health,UNICEF India,113840,9251,192,2590,147,137,74
P28_10,2018,Q2,Punjab,Amritsar,Malaria Control,Punjab Health Mission,188767,28606,79,2037,504,75,93
P28_11,2019,Q2,Kerala,Kozhikode,TB Control,CARE India,301150,32003,155,3868,722,96,63
P28_12,2021,Q4,Punjab,Ludhiana,Nutrition Program,Assam NRHM,314521,25316,109,4543,78,128,77
P28_13,2022,Q3,Assam,Guwahati,Child Immunization,UNICEF India,199902,17369,215,362,682,191,75
P28_14,2019,Q1,Odisha,Cuttack,TB Control,NHM Odisha,375975,16666,211,4963,188,185,68
P28_15,2020,Q1,Kerala,Kozhikode,Maternal Health,State Health Society Rajasthan,150177,23001,132,1777,763,90,80
P28_16,2018,Q2,Odisha,Puri,Maternal Health,Kerala Health Department,304639,28801,29,2931,479,83,61
P28_17,2020,Q1,Punjab,Ludhiana,TB Control,Assam NRHM,85758,35411,175,1845,184,155,80
P28_18,2018,Q2,Punjab,Ludhiana,TB Control,UNICEF India,346154,17403,176,273,66,47,75
P28_19,2021,Q1,Punjab,Ludhiana,Maternal Health,Assam NRHM,78896,43714,183,3021,554,166,92
P28_20,2021,Q2,Odisha,Cuttack,Maternal Health,NHM Odisha,311095,15530,131,4210,567,167,91
P28_21,2018,Q4,Rajasthan,Udaipur,Child Immunization,State Health Society Rajasthan,124400,19739,47,3755,593,46,93
P28_22,2018,Q1,Odisha,Puri,Maternal Health,Kerala Health Department,80738,49338,169,2538,680,53,63
P28_23,2019,Q1,Assam,Dibrugarh,Nutrition Program,CARE India,281866,6263,220,4221,361,57,64
P28_24,2019,Q2,Assam,Silchar,Nutrition Program,NHM Odisha,338756,31566,57,3884,386,159,89
P28_25,2020,Q2,Assam,Dibrugarh,TB Control,Kerala Health Department,397412,29821,130,1700,716,32,94
P28_26,2018,Q1,Kerala,Kozhikode,Maternal Health,Punjab Health Mission,302210,23406,159,4097,149,164,96
P28_27,2022,Q1,Kerala,Thrissur,TB Control,State Health Society Rajasthan,154193,44002,95,1921,710,10,82
P28_28,2018,Q1,Odisha,Cuttack,TB Control,Assam NRHM,217687,37392,48,1896,578,37,79
P28_29,2021,Q3,Punjab,Patiala,Malaria Control,NHM Odisha,154582,26671,197,3313,364,124,73
P28_30,2022,Q2,Assam,Dibrugarh,TB Control,CARE India,386864,19007,202,3860,417,76,97
P28_31,2021,Q2,Odisha,Puri,Child Immunization,NHM Odisha,160695,8103,101,4346,559,92,68
P28_32,2022,Q3,Rajasthan,Jodhpur,TB Control,NHM Odisha,197115,24669,195,1674,597,180,93
P28_33,2019,Q4,Rajasthan,Jaipur,Malaria Control,NHM Odisha,159050,38046,70,2295,474,105,60
P28_34,2022,Q4,Odisha,Puri,TB Control,UNICEF India,273586,32071,116,307,334,91,78
P28_35,2018,Q2,Punjab,Ludhiana,Child Immunization,CARE India,162223,49059,45,2332,793,54,68
P28_36,2018,Q2,Odisha,Cuttack,Child Immunization,NHM Odisha,380189,12487,188,2143,726,120,87
P28_37,2022,Q2,Assam,Guwahati,Child Immunization,Punjab Health Mission,79995,31200,227,2254,314,113,62
P28_38,2022,Q4,Punjab,Amritsar,Maternal Health,State Health Society Rajasthan,151490,8256,226,4927,126,53,93
P28_39,2020,Q4,Rajasthan,Udaipur,Malaria Control,Punjab Health Mission,330497,25307,200,993,74,173,77
P28_40,2019,Q2,Assam,Dibrugarh,Maternal Health,Punjab Health Mission,244270,20002,125,1325,495,43,97
P28_41,2022,Q4,Kerala,Thrissur,Child Immunization,State Health Society Rajasthan,191666,49596,152,1915,411,158,93
P28_42,2021,Q3,Assam,Dibrugarh,Nutrition Program,NHM Odisha,86283,48720,195,418,570,77,87
P28_43,2020,Q2,Punjab,Amritsar,Malaria Control,State Health Society Rajasthan,335460,34818,209,1628,654,109,97
P28_44,2021,Q3,Rajasthan,Udaipur,Nutrition Program,State Health Society Rajasthan,97899,49359,231,4358,174,198,89
P28_45,2018,Q2,Rajasthan,Jaipur,Child Immunization,NHM Odisha,274787,38895,96,3510,160,194,65
P28_46,2020,Q2,Punjab,Patiala,Malaria Control,Kerala Health Department,273117,21894,150,3014,416,155,74
P28_47,2019,Q2,Kerala,Thrissur,Child Immunization,State Health Society Rajasthan,382018,40347,247,4172,413,136,95
P28_48,2019,Q1,Punjab,Amritsar,Malaria Control,UNICEF India,387774,34836,157,238,480,149,67
P28_49,2021,Q2,Rajasthan,Jodhpur,Nutrition Program,CARE India,92952,48017,132,550,628,53,68
P28_50,2022,Q1,Assam,Silchar,Malaria Control,Punjab Health Mission,57510,49426,51,3124,447,129,82
P28_51,2022,Q3,Assam,Dibrugarh,TB Control,Kerala Health Department,124733,46187,225,1653,225,16,79
P28_52,2019,Q2,Rajasthan,Jodhpur,Nutrition Program,UNICEF India,347378,8385,103,1175,552,100,66
P28_53,2020,Q2,Odisha,Bhubaneswar,Maternal Health,Punjab Health Mission,210879,43912,54,4442,618,141,78
P28_54,2019,Q2,Kerala,Kozhikode,Nutrition Program,Punjab Health Mission,379275,5755,214,4874,656,123,92
P28_55,2019,Q2,Odisha,Bhubaneswar,Nutrition Program,Kerala Health Department,228664,17594,143,972,496,8,97
P28_56,2019,Q2,Rajasthan,Jodhpur,Child Immunization,UNICEF India,56054,42127,245,3844,245,28,64
P28_57,2021,Q4,Rajasthan,Udaipur,TB Control,CARE India,40446,19837,47,1091,614,199,65
P28_58,2022,Q2,Rajasthan,Jodhpur,Maternal Health,UNICEF India,187506,15644,135,4785,346,68,82
P28_59,2020,Q4,Assam,Dibrugarh,Malaria Control,Assam NRHM,297497,13406,28,3002,513,193,84
P28_60,2021,Q4,Kerala,Thrissur,Nutrition Program,Assam NRHM,156040,48571,60,1400,624,43,74
P28_61,2020,Q2,Rajasthan,Udaipur,TB Control,Assam NRHM,318694,14244,207,1483,622,95,87
P28_62,2019,Q1,Assam,Silchar,TB Control,Punjab Health Mission,99522,27905,135,1810,630,20,71
P28_63,2022,Q1,Punjab,Ludhiana,Maternal Health,Assam NRHM,340953,13214,68,2383,761,22,86
P28_64,2019,Q4,Assam,Guwahati,Child Immunization,NHM Odisha,341523,20995,95,4538,624,124,71
P28_65,2018,Q3,Kerala,Kozhikode,Malaria Control,State Health Society Rajasthan,268162,5522,121,4638,769,12,73
P28_66,2022,Q4,Rajasthan,Jodhpur,Maternal Health,CARE India,152085,25485,132,3811,618,11,86
P28_67,2019,Q4,Assam,Silchar,Maternal Health,State Health Society Rajasthan,152899,26473,58,3739,233,50,66
P28_68,2018,Q2,Rajasthan,Jaipur,TB Control,Kerala Health Department,156791,46869,144,2813,139,85,94
P28_69,2019,Q1,Kerala,Thrissur,TB Control,UNICEF India,44818,33570,119,4141,615,166,83
